seq,internal_campaign_id,display_name,brief_job_no,objective_type,primary_kpi,pillar,primary_region,match_pattern,portfolio
0,eae,EcoStruxure Automation Expert,1974,LeadGen,Opt-in MQLs,,ANZ,Ecostructure_Automation_Expert|Automation_Expert|Automation Expert,APAC-other
1,eba,EcoStruxure Building Activate,2079,LeadGen,Opt-in MQLs,,ANZ,EBA_Activate|Building Activate|EBA_,Pacific
2,aveva,AVEVA,—,LeadGen,Opt-in MQLs,,ANZ,AVEVA,APAC-other
3,ai_lc,AI & Liquid Cooling,2306,Awareness,Top-funnel engagement,,multi,AI in DC|LQAIDC|AI in DC ,APAC-other
4,csp,C&SP Relationship Marketing,1957,ABM,Brand preference & opps,,multi,C&SP,APAC-other
5,ent_it,Enterprise IT Expansion,1958,ABM,Hand-raisers + MQLs,,multi,EntIT,APAC-other
6,water_env,Water & Environment,2026,Awareness,Reach / Clicks / LP lands,3 pillars,ANZ,WaterEnv,Pacific
7,ind_edge,Industrial Edge / Prefab,2463,LeadGen,Qualified leads / CPL / CVR,,Pacific,Industrial Edge,APAC-other
8,mcset,MCSeT + EvoPacT,2389,Event,Roadshow registrations,,ANZ,Cooling Solutions,Pacific
9,ia_services,IA Services,2280,Awareness→RT,"Reach / freq, VCR",,ANZ,AI Services,APAC-other
10,impact_maker,Impact Maker,1914,Awareness,Reach / engagement,,ANZ,Impact_Maker|Imapct_Maker,APAC-other
11,iof,Industries of the Future,1899,Awareness,Engagement,,multi,IOF|Industries of the Future,APAC-other
12,mea_seg,MEA Segment Program,2353,ABM,TAL engagement,MEA,MEA,2353|MEA Segment,APAC-other
13,power_products,Power Products (ANZ),—,Awareness,Reach / engagement,,ANZ,Power_Products|Power Products,APAC-other
14,digital_bldg,Digital Buildings,—,Awareness,Engagement,,ANZ,Digital Building|Digital Buildings,APAC-other
15,digital_power,Digital Power Basket,—,Awareness,Traffic / engagement,,ANZ,Digital_Power_Basket|Power_Basket,APAC-other
16,ecocare,EcoCare BMS,—,Awareness,Traffic,,ANZ,EcoCare|Ecocare,Pacific
17,modernisation,Modernisation / SPaaS,—,LeadGen,Leads / conversions,,ANZ,Modernisation|Spaas|SPaaS,APAC-other
18,active_kpx,Active KPX,—,Awareness,Awareness,,ANZ,Active KPX|Active_KPX| KPX_,APAC-other
19,pac_hybrid_it,Pacific Hybrid IT,—,ABM,TAL website traffic,Hybrid IT,Pacific,Pacific Hybrid IT|Hybrid IT,APAC-other
20,airset,AirSeT,2223,Awareness→RT,Reach / engagement,,ANZ,AirSeT|AirSet,Pacific
21,heavy,Heavy Industries,2281,Awareness,Reach / engagement,,ANZ,Heavy Indust|Heavy_Indust,Pacific
22,ecoconsult,EcoConsult,2279,LeadGen,Traffic / SQLs / consults,,ANZ,EcoConsult|Eco Consult,Pacific
23,global_rebrand,Advancing Energy Technology,—,Awareness,Reach / engagement,,ANZ,Global Rebrand|Global_Rebrand|Rebrand Activation,Pacific
24,healthcare,Healthcare,—,Awareness,Reach / engagement,,ANZ,Healthcare_Vertical_TBC,Pacific
25,microgrid,Microgrid,—,Awareness,Reach / engagement,,ANZ,Microgrid|Micro Grid|Micro_Grid,Pacific
26,enterprise_software,Enterprise Software,—,LeadGen,Leads / conversions,,ANZ,Enterprise_Software_TBC|EntSoftware,Pacific
27,nel,New Energy Landscape,2053,Awareness,Reach / engagement,,ANZ,NEL|New Energy Landscape,Pacific
